ID,RSU Code,SDU Billing Rates,TPT Status,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,,,SER-FSDU-CFT-24F,302,0,2416
,,,,,,,SER-FSDU-CFT-48F,302,0,2416
,	3VH-0,DEL 1 Year Fix,,DEL,,,SER-FSDU-CFT-6F,240,0,2000
,,,,,,,SER-FSDU-CFT-12F,240,0,2000
,,,,,,,SER-FSDU-CFT-24F,240,0,2000
,,,,,,,SER-FSDU-CFT-48F,240,0,2000
,	A3K-0,DEL 1 Year Fix,,DEL,,,SER-FSDU-CFT-6F,283,0,2320
,,,,,,,SER-FSDU-CFT-12F,283,0,2320
,,,,,,,SER-FSDU-CFT-24F,283,0,2320
,,,,,,,SER-FSDU-CFT-48F,283,0,2320
,	A3N-0,DEL 1 Year Fix,,DEL,,,SER-FSDU-CFT-6F,102,0,1632
,,,,,,,SER-FSDU-CFT-12F,102,0,1632
,,,,,,,SER-FSDU-CFT-24F,102,0,1632
,,,,,,,SER-FSDU-CFT-48F,102,0,1632
,	A3N-0,DEL 1 Year Fix,Resign Writing,DEL,,,SER-FSDU-CFT-6F,0,0,0
,,,,,,,SER-FSDU-CFT-12F,8,0,0
,,,,,,,SER-FSDU-CFT-24F,0,0,0
,,,,,,,SER-FSDU-CFT-48F,0,0,0
,	A3S-0,DEL 1 Year Fix,,DEL,,,SER-FSDU-CFT-6F,20,0,320
,,,,,,,SER-FSDU-CFT-12F,20,0,320
,,,,,,,SER-FSDU-CFT-24F,20,0,320
,,,,,,,SER-FSDU-CFT-48F,20,0,320
,	AAF-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,224,0,1792
,,,,,,,SER-FSDU-CFT-12F,224,0,1792
,,,,,,,SER-FSDU-CFT-24F,224,0,1792
,,,,,,,SER-FSDU-CFT-48F,224,0,1792
,	AAG-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,135,0,1080
,,,,,,,SER-FSDU-CFT-12F,135,0,1080
,,,,,,,SER-FSDU-CFT-24F,135,0,1080
,,,,,,,SER-FSDU-CFT-48F,135,0,1080
,	AAH-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,233,0,1864
,,,,,,,SER-FSDU-CFT-12F,233,0,1864
,,,,,,,SER-FSDU-CFT-24F,233,0,1864
,,,,,,,SER-FSDU-CFT-48F,233,0,1864
,	AAM-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,101,0,1616
,,,,,,,SER-FSDU-CFT-12F,101,0,1616
,,,,,,,SER-FSDU-CFT-24F,101,0,1616
,,,,,,,SER-FSDU-CFT-48F,101,0,1616
,	ABG-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,212,0,1696
,,,,,,,SER-FSDU-CFT-12F,212,0,1696
,,,,,,,SER-FSDU-CFT-24F,212,0,1696
,,,,,,,SER-FSDU-CFT-48F,212,0,1696
,	ADG-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,249,0,3964
,,,,,,,SER-FSDU-CFT-12F,249,0,3964
,,,,,,,SER-FSDU-CFT-24F,249,0,3964
,,,,,,,SER-FSDU-CFT-48F,249,0,3964
,	ADG-0,UPW 1 Year Fix,TPT Route,UPW,,,SER-FSDU-CFT-6F,0,0,0
,,,,,,,SER-FSDU-CFT-12F,0,0,0
,,,,,,,SER-FSDU-CFT-24F,0,0,0
,,,,,,,SER-FSDU-CFT-48F,0,0,0
,	ADJ-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,108,0,1728
,,,,,,,SER-FSDU-CFT-12F,108,0,1728
,,,,,,,SER-FSDU-CFT-24F,108,0,1728
,,,,,,,SER-FSDU-CFT-48F,108,0,1728
,	ADK-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,76,0,1216
,,,,,,,SER-FSDU-CFT-12F,76,0,1216
,,,,,,,SER-FSDU-CFT-24F,76,0,1216
,,,,,,,SER-FSDU-CFT-48F,76,0,1216
,	ADK-1,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,88,0,704
,,,,,,,SER-FSDU-CFT-12F,88,0,704
,,,,,,,SER-FSDU-CFT-24F,88,0,704
,,,,,,,SER-FSDU-CFT-48F,88,0,704
,	ADL-0,KTK 1 Year Fix,,KTK,,,SER-FSDU-CFT-6F,344,0,3298
,,,,,,,SER-FSDU-CFT-12F,344,0,3298
,,,,,,,SER-FSDU-CFT-24F,344,0,3298
,,,,,,,SER-FSDU-CFT-48F,344,0,3298
,	ADT-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,180,0,2880
,,,,,,,SER-FSDU-CFT-12F,180,0,2880
,,,,,,,SER-FSDU-CFT-24F,180,0,2880
,,,,,,,SER-FSDU-CFT-48F,180,0,2880
,	ADV-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,188,0,3008
,,,,,,,SER-FSDU-CFT-12F,188,0,3008
,,,,,,,SER-FSDU-CFT-24F,188,0,3008
,,,,,,,SER-FSDU-CFT-48F,188,0,3008
,	ADV-0,UPW 1 Year Fix,TPT Route,UPW,,,SER-FSDU-CFT-6F,0,0,0
,,,,,,,SER-FSDU-CFT-12F,0,0,0
,,,,,,,SER-FSDU-CFT-24F,0,0,0
,,,,,,,SER-FSDU-CFT-48F,0,0,0
,	AEI-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,225,0,1800
