ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,,SER-FSDU-CFT-12F,219,0,3504
,,,,,,SER-FSDU-CFT-24F,219,0,3504
,,,,,,SER-FSDU-CFT-48F,219,0,3504
,GBR-1,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,68,0,1088
,,,,,,SER-FSDU-CFT-12F,68,0,1088
,,,,,,SER-FSDU-CFT-24F,68,0,1088
,,,,,,SER-FSDU-CFT-48F,68,0,1088
,GEU-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,26,6992,416
,,,,,,SER-FSDU-CFT-12F,26,675,416
,,,,,,SER-FSDU-CFT-24F,26,535,416
,,,,,,SER-FSDU-CFT-48F,26,0,416
,GHD-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,75,1966,600
,,,,,,SER-FSDU-CFT-12F,75,2676,600
,,,,,,SER-FSDU-CFT-24F,75,1945,600
,,,,,,SER-FSDU-CFT-48F,75,0,600
,GIW-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,40,2462,320
,,,,,,SER-FSDU-CFT-12F,40,1600,320
,,,,,,SER-FSDU-CFT-24F,40,0,320
,,,,,,SER-FSDU-CFT-48F,40,0,320
,GJR-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,72,4883,1152
,,,,,,SER-FSDU-CFT-12F,72,4141,1152
,,,,,,SER-FSDU-CFT-24F,72,341,1152
,,,,,,SER-FSDU-CFT-48F,72,0,1152
,GJU-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,48,3000,768
,,,,,,SER-FSDU-CFT-12F,48,800,768
,,,,,,SER-FSDU-CFT-24F,48,1300,768
,,,,,,SER-FSDU-CFT-48F,48,0,768
,GKD-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,16,1663,128
,,,,,,SER-FSDU-CFT-12F,16,475,128
,,,,,,SER-FSDU-CFT-24F,16,766,128
,,,,,,SER-FSDU-CFT-48F,16,0,128
,GKR-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,118,0,1896
,,,,,,SER-FSDU-CFT-12F,118,0,1896
,,,,,,SER-FSDU-CFT-24F,118,0,1896
,,,,,,SER-FSDU-CFT-48F,118,0,1896
,GMA-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,784,0,78
,,,,,,SER-FSDU-CFT-12F,784,0,78
,,,,,,SER-FSDU-CFT-24F,784,0,78
,,,,,,SER-FSDU-CFT-48F,784,0,78
,GMT-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,99,6960,1584
,,,,,,SER-FSDU-CFT-12F,99,3710,1584
,,,,,,SER-FSDU-CFT-24F,99,480,1584
,,,,,,SER-FSDU-CFT-48F,99,0,1584
,GN3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,48,2520,768
,,,,,,SER-FSDU-CFT-12F,48,500,768
,,,,,,SER-FSDU-CFT-24F,48,600,768
,,,,,,SER-FSDU-CFT-48F,48,0,768
,GNU-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,12,426,152
,,,,,,SER-FSDU-CFT-12F,12,141,152
,,,,,,SER-FSDU-CFT-24F,12,383,152
,,,,,,SER-FSDU-CFT-48F,12,0,152
,GNW-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,78,0,1248
,,,,,,SER-FSDU-CFT-12F,78,0,1248
,,,,,,SER-FSDU-CFT-24F,78,0,1248
,,,,,,SER-FSDU-CFT-48F,78,0,1248
,GNW-1,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,90,0,1440
,,,,,,SER-FSDU-CFT-12F,90,0,1440
,,,,,,SER-FSDU-CFT-24F,90,0,1440
,,,,,,SER-FSDU-CFT-48F,90,0,1440
,GOR-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,75,0,1200
,,,,,,SER-FSDU-CFT-12F,75,0,1200
,,,,,,SER-FSDU-CFT-24F,75,0,1200
,,,,,,SER-FSDU-CFT-48F,75,0,1200
,GP5-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,29,2148,232
,,,,,,SER-FSDU-CFT-12F,29,101,232
,,,,,,SER-FSDU-CFT-24F,29,457,232
,,,,,,SER-FSDU-CFT-48F,29,0,232
,GPE-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,106,0,848
,,,,,,SER-FSDU-CFT-12F,106,0,848
,,,,,,SER-FSDU-CFT-24F,106,0,848
,,,,,,SER-FSDU-CFT-48F,106,0,848
,GPE-1,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,40,0,320
,,,,,,SER-FSDU-CFT-12F,40,0,320
,,,,,,SER-FSDU-CFT-24F,40,0,320
,,,,,,SER-FSDU-CFT-48F,40,0,320
,GPN-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,32,0,512
,,,,,,SER-FSDU-CFT-12F,32,0,512
,,,,,,SER-FSDU-CFT-24F,32,76,512
,,,,,,SER-FSDU-CFT-48F,32,0,512
,GSC-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,12,330,96
,,,,,,SER-FSDU-CFT-12F,12,300,96
,,,,,,SER-FSDU-CFT-24F,12,0,96
,,,,,,SER-FSDU-CFT-48F,12,0,96
,GSP-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,25,1700,200
,,,,,,SER-FSDU-CFT-12F,25,460,200
,,,,,,SER-FSDU-CFT-24F,25,0,200
,,,,,,SER-FSDU-CFT-48F,25,0,200
,GUV-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,38,1025,304
,,,,,,SER-FSDU-CFT-12F,38,840,304
,,,,,,SER-FSDU-CFT-24F,38,1265,304
,,,,,,SER-FSDU-CFT-48F,38,0,304
,GUY-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,65,0,520
,,,,,,SER-FSDU-CFT-12F,65,0,520
,,,,,,SER-FSDU-CFT-24F,65,0,520
,,,,,,SER-FSDU-CFT-48F,65,50,520
,GWX-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,69,4745,1104
,,,,,,SER-FSDU-CFT-12F,69,3071,1104
,,,,,,SER-FSDU-CFT-24F,69,1000,1104
,,,,,,SER-FSDU-CFT-48F,69,0,1104
,H2F-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,153,2760,1224
,,,,,,SER-FSDU-CFT-12F,153,2580,1224
,,,,,,SER-FSDU-CFT-24F,153,1980,1224
,,,,,,SER-FSDU-CFT-48F,153,1350,1224
,H3D-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,62,1021,736
,,,,,,SER-FSDU-CFT-12F,62,948,736
,,,,,,SER-FSDU-CFT-24F,62,777,736
,,,,,,SER-FSDU-CFT-48F,62,0,736
,H3F-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,160,7400,1280
,,,,,,SER-FSDU-CFT-12F,160,3140,1280
,,,,,,SER-FSDU-CFT-24F,160,1990,1280
,,,,,,SER-FSDU-CFT-48F,160,155,1280
,H3J-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,202,3151,1616
,,,,,,SER-FSDU-CFT-12F,202,1447,1616
,,,,,,SER-FSDU-CFT-24F,202,3338,1616
,,,,,,SER-FSDU-CFT-48F,202,0,1616
,H3N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,199,4540,2176
,,,,,,SER-FSDU-CFT-12F,199,3275,2176
,,,,,,SER-FSDU-CFT-24F,199,2045,2176
,,,,,,SER-FSDU-CFT-48F,199,515,2176
,H3S-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,167,2558,1368
,,,,,,SER-FSDU-CFT-12F,167,2632,1368
,,,,,,SER-FSDU-CFT-24F,167,4036,1368
,,,,,,SER-FSDU-CFT-48F,167,2240,1368
,HA4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,89,0,824
,,,,,,SER-FSDU-CFT-12F,89,0,824
,,,,,,SER-FSDU-CFT-24F,89,0,824
,,,,,,SER-FSDU-CFT-48F,89,0,824
,HD2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,177,0,1600
,,,,,,SER-FSDU-CFT-12F,177,0,1600
,,,,,,SER-FSDU-CFT-24F,177,0,1600
,,,,,,SER-FSDU-CFT-48F,177,0,1600
,HE2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,352,15220,2816
,,,,,,SER-FSDU-CFT-12F,352,6335,2816
,,,,,,SER-FSDU-CFT-24F,352,3960,2816
,,,,,,SER-FSDU-CFT-48F,352,525,2816
,HE3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,93,3080,1448
,,,,,,SER-FSDU-CFT-12F,93,1960,1448
,,,,,,SER-FSDU-CFT-24F,93,1400,1448
,,,,,,SER-FSDU-CFT-48F,93,10685,1448
,HI3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,44,700,352
,,,,,,SER-FSDU-CFT-12F,44,1450,352
,,,,,,SER-FSDU-CFT-24F,44,680,352
,,,,,,SER-FSDU-CFT-48F,44,0,352
,HK4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,76,0,816
,,,,,,SER-FSDU-CFT-12F,76,0,816
,,,,,,SER-FSDU-CFT-24F,76,0,816
,,,,,,SER-FSDU-CFT-48F,76,786,816
,HV0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,48,740,384
,,,,,,SER-FSDU-CFT-12F,48,630,384
,,,,,,SER-FSDU-CFT-24F,48,1250,384
,,,,,,SER-FSDU-CFT-48F,48,500,384
,J0N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,238,0,1904
,,,,,,SER-FSDU-CFT-12F,238,0,1904
,,,,,,SER-FSDU-CFT-24F,238,0,1904
,,,,,,SER-FSDU-CFT-48F,238,0,1904
,J1G-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,216,1730,1728
,,,,,,SER-FSDU-CFT-12F,216,1820,1728
,,,,,,SER-FSDU-CFT-24F,216,3530,1728
,,,,,,SER-FSDU-CFT-48F,216,1255,1728
,J1H-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,250,2350,2000
,,,,,,SER-FSDU-CFT-12F,250,2450,2000
,,,,,,SER-FSDU-CFT-24F,250,3780,2000
,,,,,,SER-FSDU-CFT-48F,250,2100,2000
,J1X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,306,6527,2448
,,,,,,SER-FSDU-CFT-12F,306,6054,2448
,,,,,,SER-FSDU-CFT-24F,306,11850,2448
,,,,,,SER-FSDU-CFT-48F,306,4012,2448
,J2E-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,314,6304,2512
,,,,,,SER-FSDU-CFT-12F,314,6600,2512
,,,,,,SER-FSDU-CFT-24F,314,3954,2512
,,,,,,SER-FSDU-CFT-48F,314,1128,2512
,J3C-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,216,6400,3432
,,,,,,SER-FSDU-CFT-12F,216,3400,3432
,,,,,,SER-FSDU-CFT-24F,216,1100,3432
,,,,,,SER-FSDU-CFT-48F,216,270,3432
,J3D-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,362,0,2896
,,,,,,SER-FSDU-CFT-12F,362,0,2896
,,,,,,SER-FSDU-CFT-24F,362,0,2896
,,,,,,SER-FSDU-CFT-48F,362,300,2896
,J3J-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,362,0,3976
,,,,,,SER-FSDU-CFT-12F,362,4300,3976
,,,,,,SER-FSDU-CFT-24F,362,3000,3976
,,,,,,SER-FSDU-CFT-48F,362,650,3976
,J3N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,74,1130,672
,,,,,,SER-FSDU-CFT-12F,74,1142,672
,,,,,,SER-FSDU-CFT-24F,74,1751,672
,,,,,,SER-FSDU-CFT-48F,74,870,672
,J3R-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,353,3215,2824
,,,,,,SER-FSDU-CFT-12F,353,3330,2824
,,,,,,SER-FSDU-CFT-24F,353,5375,2824
,,,,,,SER-FSDU-CFT-48F,353,3000,2824
,J4U-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,210,1735,1680
,,,,,,SER-FSDU-CFT-12F,210,1865,1680
,,,,,,SER-FSDU-CFT-24F,210,2440,1680
,,,,,,SER-FSDU-CFT-48F,210,1100,1680
,JL3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,99,5334,856
,,,,,,SER-FSDU-CFT-12F,99,5587,856
,,,,,,SER-FSDU-CFT-24F,99,4518,856
,,,,,,SER-FSDU-CFT-48F,99,288,856
,K0S-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,85,1087,680
,,,,,,SER-FSDU-CFT-12F,85,1296,680
,,,,,,SER-FSDU-CFT-24F,85,1976,680
,,,,,,SER-FSDU-CFT-48F,85,833,680
,K1I-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,77,1270,1000
,,,,,,SER-FSDU-CFT-12F,77,1415,1000
,,,,,,SER-FSDU-CFT-24F,77,1940,1000
,,,,,,SER-FSDU-CFT-48F,77,415,1000
,K1Q-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,73,1455,616
,,,,,,SER-FSDU-CFT-12F,73,1817,616
,,,,,,SER-FSDU-CFT-24F,73,1141,616
,,,,,,SER-FSDU-CFT-48F,73,807,616
,K4N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,200,2482,1600
,,,,,,SER-FSDU-CFT-12F,200,1965,1600
,,,,,,SER-FSDU-CFT-24F,200,3616,1600
,,,,,,SER-FSDU-CFT-48F,200,2637,1600
,K4S-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,252,4905,2016
,,,,,,SER-FSDU-CFT-12F,252,2305,2016
,,,,,,SER-FSDU-CFT-24F,252,3856,2016
,,,,,,SER-FSDU-CFT-48F,252,1112,2016
,KA2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,202,6380,1952
,,,,,,SER-FSDU-CFT-12F,202,2700,1952
,,,,,,SER-FSDU-CFT-24F,202,1550,1952
,,,,,,SER-FSDU-CFT-48F,202,0,1952
,KK4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,128,2520,1024
,,,,,,SER-FSDU-CFT-12F,128,2011,1024
,,,,,,SER-FSDU-CFT-24F,128,2598,1024
,,,,,,SER-FSDU-CFT-48F,128,2978,1024
,KN0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,84,1060,1000
,,,,,,SER-FSDU-CFT-12F,84,1290,1000
,,,,,,SER-FSDU-CFT-24F,84,110,1000
,,,,,,SER-FSDU-CFT-48F,84,830,1000
,KV2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,274,8800,2760
,,,,,,SER-FSDU-CFT-12F,274,2800,2760
,,,,,,SER-FSDU-CFT-24F,274,2200,2760
,,,,,,SER-FSDU-CFT-48F,274,470,2760
,KXW-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,237,5500,1896
,,,,,,SER-FSDU-CFT-12F,237,5800,1896
,,,,,,SER-FSDU-CFT-24F,237,3550,1896
,,,,,,SER-FSDU-CFT-48F,237,690,1896
,KZC-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,87,1305,1424
,,,,,,SER-FSDU-CFT-12F,87,940,1424
,,,,,,SER-FSDU-CFT-24F,87,1155,1424
,,,,,,SER-FSDU-CFT-48F,87,725,1424
,LB4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,148,2293,1184
,,,,,,SER-FSDU-CFT-12F,148,1903,1184
,,,,,,SER-FSDU-CFT-24F,148,4113,1184
,,,,,,SER-FSDU-CFT-48F,148,2201,1184
,M0G-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,84,1791,1024
,,,,,,SER-FSDU-CFT-12F,84,2141,1024
,,,,,,SER-FSDU-CFT-24F,84,801,1024
,,,,,,SER-FSDU-CFT-48F,84,617,1024
,M0H-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,207,0,1656
,,,,,,SER-FSDU-CFT-12F,207,0,1656
,,,,,,SER-FSDU-CFT-24F,207,0,1656
,,,,,,SER-FSDU-CFT-48F,207,0,1656
,M0N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,141,1988,1208
,,,,,,SER-FSDU-CFT-12F,141,2138,1208
,,,,,,SER-FSDU-CFT-24F,141,3366,1208
,,,,,,SER-FSDU-CFT-48F,141,1458,1208
,M0R-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,125,2022,1000
,,,,,,SER-FSDU-CFT-12F,125,1951,1000
,,,,,,SER-FSDU-CFT-24F,125,2528,1000
,,,,,,SER-FSDU-CFT-48F,125,870,1000
,M1G-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,150,1640,1200
,,,,,,SER-FSDU-CFT-12F,150,1680,1200
,,,,,,SER-FSDU-CFT-24F,150,3200,1200
,,,,,,SER-FSDU-CFT-48F,150,2130,1200
,M1U-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,228,1422,1824
,,,,,,SER-FSDU-CFT-12F,228,2505,1824
,,,,,,SER-FSDU-CFT-24F,228,1236,1824
,,,,,,SER-FSDU-CFT-48F,228,208,1824
,M2P-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,90,1308,720
,,,,,,SER-FSDU-CFT-12F,90,996,720
,,,,,,SER-FSDU-CFT-24F,90,600,720
,,,,,,SER-FSDU-CFT-48F,90,0,720
,MB2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,33,1750,280
,,,,,,SER-FSDU-CFT-12F,33,390,280
,,,,,,SER-FSDU-CFT-24F,33,600,280
,,,,,,SER-FSDU-CFT-48F,33,0,280
,MN0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,116,1420,928
,,,,,,SER-FSDU-CFT-12F,116,1060,928
,,,,,,SER-FSDU-CFT-24F,116,3088,928
,,,,,,SER-FSDU-CFT-48F,116,815,928
,N2P-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,307,10520,2472
,,,,,,SER-FSDU-CFT-12F,307,3010,2472
,,,,,,SER-FSDU-CFT-24F,307,1780,2472
,,,,,,SER-FSDU-CFT-48F,307,0,2472
,N2X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,60,1006,480
,,,,,,SER-FSDU-CFT-12F,60,1422,480
,,,,,,SER-FSDU-CFT-24F,60,1324,480
,,,,,,SER-FSDU-CFT-48F,60,0,480
,N3T-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,229,3222,1840
,,,,,,SER-FSDU-CFT-12F,229,2261,1840
,,,,,,SER-FSDU-CFT-24F,229,4429,1840
,,,,,,SER-FSDU-CFT-48F,229,2466,1840
,NH0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,64,0,512
,,,,,,SER-FSDU-CFT-12F,64,0,512
,,,,,,SER-FSDU-CFT-24F,64,0,512
,,,,,,SER-FSDU-CFT-48F,64,0,512
,NP4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,267,3455,2136
,,,,,,SER-FSDU-CFT-12F,267,3361,2136
,,,,,,SER-FSDU-CFT-24F,267,5796,2136
,,,,,,SER-FSDU-CFT-48F,267,4620,2136
,NR0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,142,3080,1136
,,,,,,SER-FSDU-CFT-12F,142,2022,1136
,,,,,,SER-FSDU-CFT-24F,142,3162,1136
,,,,,,SER-FSDU-CFT-48F,142,1698,1136
,NS0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,190,3370,1632
,,,,,,SER-FSDU-CFT-12F,190,2908,1632
,,,,,,SER-FSDU-CFT-24F,190,5633,1632
,,,,,,SER-FSDU-CFT-48F,190,1345,1632
,NU0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,219,3985,2488
,,,,,,SER-FSDU-CFT-12F,219,4325,2488
,,,,,,SER-FSDU-CFT-24F,219,2764,2488
,,,,,,SER-FSDU-CFT-48F,219,3826,2488
,NX0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,216,3264,1728
,,,,,,SER-FSDU-CFT-12F,216,3795,1728
,,,,,,SER-FSDU-CFT-24F,216,6618,1728
,,,,,,SER-FSDU-CFT-48F,216,3173,1728
,NXS-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,311,6965,2488
,,,,,,SER-FSDU-CFT-12F,311,7960,2488
,,,,,,SER-FSDU-CFT-24F,311,6710,2488
,,,,,,SER-FSDU-CFT-48F,311,300,2488
,NXZ-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,133,2738,1104
,,,,,,SER-FSDU-CFT-12F,133,3195,1104
,,,,,,SER-FSDU-CFT-24F,133,2160,1104
,,,,,,SER-FSDU-CFT-48F,133,0,1104
,NZX-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,338,8230,2704
,,,,,,SER-FSDU-CFT-12F,338,7745,2704
,,,,,,SER-FSDU-CFT-24F,338,5160,2704
,,,,,,SER-FSDU-CFT-48F,338,810,2704
,OL4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,58,1106,880
,,,,,,SER-FSDU-CFT-12F,58,870,880
,,,,,,SER-FSDU-CFT-24F,58,950,880
,,,,,,SER-FSDU-CFT-48F,58,1360,880
,P1X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,114,0,912
,,,,,,SER-FSDU-CFT-12F,114,0,912
,,,,,,SER-FSDU-CFT-24F,114,0,912
,,,,,,SER-FSDU-CFT-48F,114,0,912
,P2C-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,88,2317,704
,,,,,,SER-FSDU-CFT-12F,88,2353,704
,,,,,,SER-FSDU-CFT-24F,88,2535,704
,,,,,,SER-FSDU-CFT-48F,88,0,704
,P3E-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,182,3525,1456
,,,,,,SER-FSDU-CFT-12F,182,3390,1456
,,,,,,SER-FSDU-CFT-24F,182,2815,1456
,,,,,,SER-FSDU-CFT-48F,182,1325,1456
,P4U-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,146,2840,1168
,,,,,,SER-FSDU-CFT-12F,146,1900,1168
,,,,,,SER-FSDU-CFT-24F,146,4100,1168
,,,,,,SER-FSDU-CFT-48F,146,2480,1168
,P4V-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,60,805,480
,,,,,,SER-FSDU-CFT-12F,60,797,480
,,,,,,SER-FSDU-CFT-24F,60,1552,480
,,,,,,SER-FSDU-CFT-48F,60,612,480
,PJ1-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,278,2521,2224
,,,,,,SER-FSDU-CFT-12F,278,3410,2224
,,,,,,SER-FSDU-CFT-24F,278,1820,2224
,,,,,,SER-FSDU-CFT-48F,278,236,2224
,PV3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,75,958,600
,,,,,,SER-FSDU-CFT-12F,75,772,600
,,,,,,SER-FSDU-CFT-24F,75,1855,600
,,,,,,SER-FSDU-CFT-48F,75,685,600
,R0H-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,140,1701,1120
,,,,,,SER-FSDU-CFT-12F,140,1296,1120
,,,,,,SER-FSDU-CFT-24F,140,4118,1120
,,,,,,SER-FSDU-CFT-48F,140,0,1120
,R2P-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,159,5000,1272
,,,,,,SER-FSDU-CFT-12F,159,3000,1272
,,,,,,SER-FSDU-CFT-24F,159,2400,1272
,,,,,,SER-FSDU-CFT-48F,159,210,1272
,R2Z-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,304,8970,2432
,,,,,,SER-FSDU-CFT-12F,304,3360,2432
,,,,,,SER-FSDU-CFT-24F,304,3540,2432
,,,,,,SER-FSDU-CFT-48F,304,45,2432
,R3O-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,155,2910,1240
,,,,,,SER-FSDU-CFT-12F,155,3257,1240
,,,,,,SER-FSDU-CFT-24F,155,1675,1240
,,,,,,SER-FSDU-CFT-48F,155,507,1240
,R4W-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,190,0,1520
,,,,,,SER-FSDU-CFT-12F,190,0,1520
,,,,,,SER-FSDU-CFT-24F,190,0,1520
,,,,,,SER-FSDU-CFT-48F,190,0,1520
,RAP-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,99,1690,936
,,,,,,SER-FSDU-CFT-12F,99,1770,936
,,,,,,SER-FSDU-CFT-24F,99,1270,936
,,,,,,SER-FSDU-CFT-48F,99,393,936
,RJ2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,274,7580,2232
,,,,,,SER-FSDU-CFT-12F,274,2260,2232
,,,,,,SER-FSDU-CFT-24F,274,1540,2232
,,,,,,SER-FSDU-CFT-48F,274,1330,2232
,RM0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,172,2110,1376
,,,,,,SER-FSDU-CFT-12F,172,3065,1376
,,,,,,SER-FSDU-CFT-24F,172,3130,1376
,,,,,,SER-FSDU-CFT-48F,172,3720,1376
,RZ4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,183,2740,1920
,,,,,,SER-FSDU-CFT-12F,183,2976,1920
,,,,,,SER-FSDU-CFT-24F,183,4916,1920
,,,,,,SER-FSDU-CFT-48F,183,2308,1920
,S2L-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,119,1962,952
,,,,,,SER-FSDU-CFT-12F,119,1329,952
,,,,,,SER-FSDU-CFT-24F,119,309,952
,,,,,,SER-FSDU-CFT-48F,119,0,952
,S3L-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,281,3381,2248
,,,,,,SER-FSDU-CFT-12F,281,2642,2248
,,,,,,SER-FSDU-CFT-24F,281,3335,2248
,,,,,,SER-FSDU-CFT-48F,281,4512,2248
,S3X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,222,8940,1776
,,,,,,SER-FSDU-CFT-12F,222,4224,1776
,,,,,,SER-FSDU-CFT-24F,222,3444,1776
,,,,,,SER-FSDU-CFT-48F,222,520,1776
,SK2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,128,0,1152
,,,,,,SER-FSDU-CFT-12F,128,0,1152
,,,,,,SER-FSDU-CFT-24F,128,0,1152
,,,,,,SER-FSDU-CFT-48F,128,0,1152
,SN3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,64,2260,904
,,,,,,SER-FSDU-CFT-12F,64,1100,904
,,,,,,SER-FSDU-CFT-24F,64,840,904
,,,,,,SER-FSDU-CFT-48F,64,0,904
,T3F-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,77,4080,616
,,,,,,SER-FSDU-CFT-12F,77,1920,616
,,,,,,SER-FSDU-CFT-24F,77,640,616
