ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,,SER-FSDU-CFT-12F,219,2881,1752
,,,,,,SER-FSDU-CFT-24F,219,1376,1752
,,,,,,SER-FSDU-CFT-48F,219,640,1752
,2N1-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,202,2910,1616
,,,,,,SER-FSDU-CFT-12F,202,3612,1616
,,,,,,SER-FSDU-CFT-24F,202,5832,1616
,,,,,,SER-FSDU-CFT-48F,202,3283,1616
,2N3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,94,2365,896
,,,,,,SER-FSDU-CFT-12F,94,3025,896
,,,,,,SER-FSDU-CFT-24F,94,2740,896
,,,,,,SER-FSDU-CFT-48F,94,1045,896
,2XP-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,105,2000,1672
,,,,,,SER-FSDU-CFT-12F,105,1700,1672
,,,,,,SER-FSDU-CFT-24F,105,1200,1672
,,,,,,SER-FSDU-CFT-48F,105,120,1672
,31D-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,66,5660,528
,,,,,,SER-FSDU-CFT-12F,66,6090,528
,,,,,,SER-FSDU-CFT-24F,66,4260,528
,,,,,,SER-FSDU-CFT-48F,66,0,528
,31V-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,68,2085,824
,,,,,,SER-FSDU-CFT-12F,68,1050,824
,,,,,,SER-FSDU-CFT-24F,68,590,824
,,,,,,SER-FSDU-CFT-48F,68,408,824
,32D-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,110,6580,1000
,,,,,,SER-FSDU-CFT-12F,110,3070,1000
,,,,,,SER-FSDU-CFT-24F,110,1850,1000
,,,,,,SER-FSDU-CFT-48F,110,0,1000
,32W-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,112,2364,896
,,,,,,SER-FSDU-CFT-12F,112,2570,896
,,,,,,SER-FSDU-CFT-24F,112,1165,896
,,,,,,SER-FSDU-CFT-48F,112,2454,896
,33T-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,110,4100,880
,,,,,,SER-FSDU-CFT-12F,110,4300,880
,,,,,,SER-FSDU-CFT-24F,110,5100,880
,,,,,,SER-FSDU-CFT-48F,110,0,880
,33T-1,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,10,0,80
,,,,,,SER-FSDU-CFT-12F,10,0,80
,,,,,,SER-FSDU-CFT-24F,10,0,80
,,,,,,SER-FSDU-CFT-48F,10,0,80
,37A-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,100,2380,800
,,,,,,SER-FSDU-CFT-12F,100,2575,800
,,,,,,SER-FSDU-CFT-24F,100,1905,800
,,,,,,SER-FSDU-CFT-48F,100,0,800
,3BB-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,44,1384,704
,,,,,,SER-FSDU-CFT-12F,44,900,704
,,,,,,SER-FSDU-CFT-24F,44,1680,704
,,,,,,SER-FSDU-CFT-48F,44,0,704
,3BZ-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,109,3295,872
,,,,,,SER-FSDU-CFT-12F,109,3410,872
,,,,,,SER-FSDU-CFT-24F,109,1930,872
,,,,,,SER-FSDU-CFT-48F,109,664,872
,3G4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,64,0,1024
,,,,,,SER-FSDU-CFT-12F,64,1400,1024
,,,,,,SER-FSDU-CFT-24F,64,1000,1024
,,,,,,SER-FSDU-CFT-48F,64,0,1024
,3I5-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,205,5540,1640
,,,,,,SER-FSDU-CFT-12F,205,5568,1640
,,,,,,SER-FSDU-CFT-24F,205,0,1640
,,,,,,SER-FSDU-CFT-48F,205,280,1640
,3KG-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,354,6912,2832
,,,,,,SER-FSDU-CFT-12F,354,8124,2832
,,,,,,SER-FSDU-CFT-24F,354,5012,2832
,,,,,,SER-FSDU-CFT-48F,354,1276,2832
,3LM-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,204,0,1632
,,,,,,SER-FSDU-CFT-12F,204,0,1632
,,,,,,SER-FSDU-CFT-24F,204,0,1632
,,,,,,SER-FSDU-CFT-48F,204,886,1632
,3LV-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,214,11000,3424
,,,,,,SER-FSDU-CFT-12F,214,3500,3424
,,,,,,SER-FSDU-CFT-24F,214,4418,3424
,,,,,,SER-FSDU-CFT-48F,214,98,3424
,3MH-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,68,1182,544
,,,,,,SER-FSDU-CFT-12F,68,1634,544
,,,,,,SER-FSDU-CFT-24F,68,732,544
,,,,,,SER-FSDU-CFT-48F,68,450,544
,3MS-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,84,2074,704
,,,,,,SER-FSDU-CFT-12F,84,2230,704
,,,,,,SER-FSDU-CFT-24F,84,1440,704
,,,,,,SER-FSDU-CFT-48F,84,0,704
,3N9-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,39,1430,312
,,,,,,SER-FSDU-CFT-12F,39,1365,312
,,,,,,SER-FSDU-CFT-24F,39,455,312
,,,,,,SER-FSDU-CFT-48F,39,0,312
,3NK-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,245,7400,2400
,,,,,,SER-FSDU-CFT-12F,245,2803,2400
,,,,,,SER-FSDU-CFT-24F,245,1709,2400
,,,,,,SER-FSDU-CFT-48F,245,2788,2400
,3NX-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,190,6164,2000
,,,,,,SER-FSDU-CFT-12F,190,2094,2000
,,,,,,SER-FSDU-CFT-24F,190,1549,2000
,,,,,,SER-FSDU-CFT-48F,190,2294,2000
,3NY-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,95,1130,1392
,,,,,,SER-FSDU-CFT-12F,95,805,1392
,,,,,,SER-FSDU-CFT-24F,95,540,1392
,,,,,,SER-FSDU-CFT-48F,95,1895,1392
,3PP-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,206,7400,1864
,,,,,,SER-FSDU-CFT-12F,206,2400,1864
,,,,,,SER-FSDU-CFT-24F,206,1500,1864
,,,,,,SER-FSDU-CFT-48F,206,340,1864
,3RB-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,58,0,504
,,,,,,SER-FSDU-CFT-12F,58,0,504
,,,,,,SER-FSDU-CFT-24F,58,0,504
,,,,,,SER-FSDU-CFT-48F,58,0,504
,3RY-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,302,4924,2416
,,,,,,SER-FSDU-CFT-12F,302,4796,2416
,,,,,,SER-FSDU-CFT-24F,302,2714,2416
,,,,,,SER-FSDU-CFT-48F,302,1350,2416
,3VH-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,240,3242,2000
,,,,,,SER-FSDU-CFT-12F,240,4152,2000
,,,,,,SER-FSDU-CFT-24F,240,3780,2000
,,,,,,SER-FSDU-CFT-48F,240,1000,2000
,A3N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,102,3100,1632
,,,,,,SER-FSDU-CFT-12F,102,1700,1632
,,,,,,SER-FSDU-CFT-24F,102,700,1632
,,,,,,SER-FSDU-CFT-48F,102,0,1632
,A3S-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,20,2485,320
,,,,,,SER-FSDU-CFT-12F,20,261,320
,,,,,,SER-FSDU-CFT-24F,20,334,320
,,,,,,SER-FSDU-CFT-48F,20,0,320
,A3K-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,283,5796,2320
,,,,,,SER-FSDU-CFT-12F,283,6070,2320
,,,,,,SER-FSDU-CFT-24F,283,4406,2320
,,,,,,SER-FSDU-CFT-48F,283,260,2320
,B0P-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,147,2529,1240
,,,,,,SER-FSDU-CFT-12F,147,2699,1240
,,,,,,SER-FSDU-CFT-24F,147,4181,1240
,,,,,,SER-FSDU-CFT-48F,147,1790,1240
,B0U-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,52,813,416
,,,,,,SER-FSDU-CFT-12F,52,1308,416
,,,,,,SER-FSDU-CFT-24F,52,1914,416
,,,,,,SER-FSDU-CFT-48F,52,890,416
,B2A-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,47,970,752
,,,,,,SER-FSDU-CFT-12F,47,730,752
,,,,,,SER-FSDU-CFT-24F,47,0,752
,,,,,,SER-FSDU-CFT-48F,47,1006,752
,B2F-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,178,1569,1424
,,,,,,SER-FSDU-CFT-12F,178,2339,1424
,,,,,,SER-FSDU-CFT-24F,178,4131,1424
,,,,,,SER-FSDU-CFT-48F,178,2330,1424
,B2Y-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,122,3056,976
,,,,,,SER-FSDU-CFT-12F,122,3454,976
,,,,,,SER-FSDU-CFT-24F,122,2724,976
,,,,,,SER-FSDU-CFT-48F,122,0,976
,B3C-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,175,12600,1400
,,,,,,SER-FSDU-CFT-12F,175,3900,1400
,,,,,,SER-FSDU-CFT-24F,175,0,1400
,,,,,,SER-FSDU-CFT-48F,175,4500,1400
,B3N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,211,0,1688
,,,,,,SER-FSDU-CFT-12F,211,0,1688
,,,,,,SER-FSDU-CFT-24F,211,0,1688
,,,,,,SER-FSDU-CFT-48F,211,0,1688
,B3R-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,136,1873,1088
,,,,,,SER-FSDU-CFT-12F,136,1775,1088
,,,,,,SER-FSDU-CFT-24F,136,3599,1088
,,,,,,SER-FSDU-CFT-48F,136,2211,1088
,BD3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,51,6000,408
,,,,,,SER-FSDU-CFT-12F,51,4300,408
,,,,,,SER-FSDU-CFT-24F,51,1300,408
,,,,,,SER-FSDU-CFT-48F,51,0,408
